2026-03-29 11:01:50 | INFO     | __main__                  | ============================================================
2026-03-29 11:01:50 | INFO     | __main__                  | Starting Tool Quản Lý Hóa Đơn Điện Tử v2.0.0
2026-03-29 11:01:50 | INFO     | __main__                  | ============================================================
2026-03-29 11:01:50 | INFO     | app.models.db_handler     | Database initialized: D:\09. Python\05.DuAn\1.1.Tool_HDDT_v2\data\app.db
2026-03-29 11:01:50 | INFO     | __main__                  | Database initialized
2026-03-29 11:01:50 | INFO     | __main__                  | Application started (Backend only mode)
2026-03-29 11:02:13 | INFO     | __main__                  | ============================================================
2026-03-29 11:02:13 | INFO     | __main__                  | Starting Tool Quản Lý Hóa Đơn Điện Tử v2.0.0
2026-03-29 11:02:13 | INFO     | __main__                  | ============================================================
2026-03-29 11:02:13 | INFO     | app.models.db_handler     | Database initialized: D:\09. Python\05.DuAn\1.1.Tool_HDDT_v2\data\app.db
2026-03-29 11:02:13 | INFO     | __main__                  | Database initialized
2026-03-29 11:02:13 | INFO     | __main__                  | Application started (Backend only mode)
2026-03-29 11:02:43 | INFO     | __main__                  | ============================================================
2026-03-29 11:02:43 | INFO     | __main__                  | Starting Tool Quản Lý Hóa Đơn Điện Tử v2.0.0
2026-03-29 11:02:43 | INFO     | __main__                  | ============================================================
2026-03-29 11:02:43 | INFO     | app.models.db_handler     | Database initialized: D:\09. Python\05.DuAn\1.1.Tool_HDDT_v2\data\app.db
2026-03-29 11:02:43 | INFO     | __main__                  | Database initialized
2026-03-29 11:02:43 | INFO     | __main__                  | Application started (Backend only mode)
2026-03-29 14:29:26 | INFO     | __main__                  | ============================================================
2026-03-29 14:29:26 | INFO     | __main__                  | Starting Tool Quản Lý Hóa Đơn Điện Tử v2.0.0
2026-03-29 14:29:26 | INFO     | __main__                  | ============================================================
2026-03-29 14:29:31 | INFO     | app.models.db_handler     | Database initialized: D:\09. Python\05.DuAn\1.1.Tool_HDDT_v2\data\app.db
2026-03-29 14:29:31 | INFO     | app.ui.main_window        | All services initialized
2026-03-29 14:29:54 | INFO     | __main__                  | ============================================================
2026-03-29 14:29:54 | INFO     | __main__                  | Starting Tool Quản Lý Hóa Đơn Điện Tử v2.0.0
2026-03-29 14:29:54 | INFO     | __main__                  | ============================================================
2026-03-29 14:29:56 | INFO     | app.models.db_handler     | Database initialized: D:\09. Python\05.DuAn\1.1.Tool_HDDT_v2\data\app.db
2026-03-29 14:29:56 | INFO     | app.ui.main_window        | All services initialized
2026-03-29 14:30:19 | INFO     | __main__                  | ============================================================
2026-03-29 14:30:19 | INFO     | __main__                  | Starting Tool Quản Lý Hóa Đơn Điện Tử v2.0.0
2026-03-29 14:30:19 | INFO     | __main__                  | ============================================================
2026-03-29 14:30:23 | INFO     | app.models.db_handler     | Database initialized: D:\09. Python\05.DuAn\1.1.Tool_HDDT_v2\data\app.db
2026-03-29 14:30:23 | INFO     | app.ui.main_window        | All services initialized
2026-03-29 14:30:25 | INFO     | app.ui.main_window        | UI Main loop started
2026-03-29 14:30:26 | WARNING  | app.services.remote_config_service | Remote config HTTP 404
2026-03-29 14:48:19 | INFO     | __main__                  | ============================================================
2026-03-29 14:48:19 | INFO     | __main__                  | Starting Tool Quản Lý Hóa Đơn Điện Tử v2.0.0
2026-03-29 14:48:19 | INFO     | __main__                  | ============================================================
2026-03-29 14:48:21 | INFO     | app.models.db_handler     | Database initialized: d:\09. Python\05.DuAn\1.1.Tool_HDDT_v2\data\app.db
2026-03-29 14:48:21 | INFO     | app.ui.main_window        | All services initialized
2026-03-29 14:48:23 | INFO     | app.ui.main_window        | UI Main loop started
2026-03-29 14:48:25 | WARNING  | app.services.remote_config_service | Remote config HTTP 404
2026-03-29 14:49:00 | INFO     | __main__                  | ============================================================
2026-03-29 14:49:00 | INFO     | __main__                  | Starting Tool Quản Lý Hóa Đơn Điện Tử v2.0.0
2026-03-29 14:49:00 | INFO     | __main__                  | ============================================================
2026-03-29 14:49:02 | INFO     | app.models.db_handler     | Database initialized: D:\09. Python\05.DuAn\1.1.Tool_HDDT_v2\data\app.db
2026-03-29 14:49:02 | INFO     | app.ui.main_window        | All services initialized
2026-03-29 14:49:04 | INFO     | app.ui.main_window        | UI Main loop started
2026-03-29 14:49:05 | WARNING  | app.services.remote_config_service | Remote config HTTP 404
2026-03-29 14:57:49 | INFO     | main                      | ============================================================
2026-03-29 14:57:49 | INFO     | main                      | Starting Tool Quản Lý Hóa Đơn Điện Tử v2.0.0
2026-03-29 14:57:49 | INFO     | main                      | ============================================================
2026-03-29 14:57:50 | INFO     | app.models.db_handler     | Database initialized: D:\09. Python\05.DuAn\1.1.Tool_HDDT_v2\data\app.db
2026-03-29 14:57:50 | INFO     | app.ui.main_window        | All services initialized
2026-03-29 14:57:52 | INFO     | app.ui.main_window        | UI Main loop started
2026-03-29 14:57:54 | WARNING  | app.services.remote_config_service | Remote config HTTP 404
2026-03-29 14:58:32 | INFO     | app.ui.main_window        | Application closed
2026-03-29 14:59:07 | INFO     | main                      | ============================================================
2026-03-29 14:59:07 | INFO     | main                      | Starting Tool Quản Lý Hóa Đơn Điện Tử v2.0.0
2026-03-29 14:59:07 | INFO     | main                      | ============================================================
2026-03-29 14:59:09 | INFO     | app.models.db_handler     | Database initialized: D:\09. Python\05.DuAn\1.1.Tool_HDDT_v2\data\app.db
2026-03-29 14:59:09 | INFO     | app.ui.main_window        | All services initialized
2026-03-29 14:59:11 | INFO     | app.ui.main_window        | UI Main loop started
2026-03-29 14:59:12 | WARNING  | app.services.remote_config_service | Remote config HTTP 404
2026-03-29 14:59:44 | INFO     | main                      | ============================================================
2026-03-29 14:59:44 | INFO     | main                      | Starting Tool Quản Lý Hóa Đơn Điện Tử v2.0.0
2026-03-29 14:59:44 | INFO     | main                      | ============================================================
2026-03-29 14:59:45 | INFO     | app.models.db_handler     | Database initialized: D:\09. Python\05.DuAn\1.1.Tool_HDDT_v2\data\app.db
2026-03-29 14:59:45 | INFO     | app.ui.main_window        | All services initialized
2026-03-29 14:59:47 | INFO     | app.ui.main_window        | UI Main loop started
2026-03-29 15:03:31 | INFO     | app.ui.main_window        | Application closed
2026-03-29 15:03:31 | INFO     | app.ui.main_window        | Application closed
2026-03-29 15:03:31 | INFO     | app.ui.main_window        | Application closed
2026-03-29 16:10:06 | INFO     | __main__                  | ============================================================
2026-03-29 16:10:06 | INFO     | __main__                  | Starting Tool Quản Lý Hóa Đơn Điện Tử v2.0.0
2026-03-29 16:10:06 | INFO     | __main__                  | ============================================================
2026-03-29 16:10:09 | INFO     | app.models.db_handler     | Database initialized: D:\09. Python\05.DuAn\1.1.Tool_HDDT_v2\data\app.db
2026-03-29 16:10:09 | INFO     | app.ui.main_window        | All services initialized
2026-03-29 16:10:10 | INFO     | app.ui.main_window        | UI Main loop started
2026-03-29 16:10:12 | WARNING  | app.services.remote_config_service | Remote config HTTP 404
2026-03-29 16:11:47 | INFO     | __main__                  | ============================================================
2026-03-29 16:11:47 | INFO     | __main__                  | Starting Tool Quản Lý Hóa Đơn Điện Tử v2.0.0
2026-03-29 16:11:47 | INFO     | __main__                  | ============================================================
2026-03-29 16:11:49 | INFO     | app.models.db_handler     | Database initialized: D:\09. Python\05.DuAn\1.1.Tool_HDDT_v2\data\app.db
2026-03-29 16:11:49 | INFO     | app.ui.main_window        | All services initialized
2026-03-29 16:11:51 | INFO     | app.ui.main_window        | UI Main loop started
